177,5962,2.5,1074056474
283,1301,4.0,868266599
3,50,5.0,841483620
668,90374,3.5,1345571165
627,78,3.5,1237993280
232,4265,3.5,1277874972
524,1858,3.0,993243758
436,60,3.0,837694324
28,1527,2.0,884098350
615,2058,4.0,955128924
47,164,3.0,853362152
3,457,4.0,841483501
475,61401,1.0,1305329517
554,5669,5.0,1111865388
38,4816,3.5,1424747556
668,6867,3.5,1149196854
268,6385,3.5,1227220671
402,8529,3.0,1202458389
29,541,4.0,846942870
475,1317,3.0,1384686568
429,1393,5.0,993083653
303,1845,5.0,976999235
475,56941,2.5,1370644003
147,1095,4.0,986111085
562,2922,5.0,953422164
354,3752,2.0,1019501106
365,4519,3.5,1062894449
109,2875,3.0,971097021
177,6800,2.5,1074129817
625,1247,4.0,1085176998
310,31,3.5,1145117662
122,628,3.0,1024805488
232,65642,4.5,1293261665
633,34,4.0,1140153206
458,143882,0.5,1444726850
432,1004,5.0,957671549
164,158,3.0,1440813869
588,3365,4.0,994205204
443,377,4.0,915223647
528,3897,5.0,1252817241
62,3863,4.0,1271396049
224,5991,4.0,1390064399
101,1298,4.0,1278885590
623,534,3.0,836687488
233,339,4.0,835095944
24,5060,4.0,963469656
290,2918,4.0,1432612645
255,3688,3.0,1174416983
668,66156,2.5,1278113886
204,2959,4.0,1159882282
255,6568,4.0,1174420497
166,62511,5.0,1439762856
418,7560,3.5,1100030499
334,317,4.0,845388748
530,47,3.0,979787828
63,7366,3.0,1299505003
128,2803,3.5,1364783354
600,955,5.0,969754038
451,27728,5.0,1130472397
575,1963,2.0,953380085
410,1208,3.0,1146501045
240,543,4.0,1007875321
453,1371,4.0,859326572
603,926,5.0,862154964
193,2571,4.0,944900448
239,653,3.0,854963405
612,2985,3.0,940519095
358,7502,2.5,1408189338
668,48879,3.5,1289055314
656,539,3.0,838777646
422,1197,5.0,1064794841
189,27834,4.5,1195628509
421,908,4.0,879858334
185,5459,2.5,1099497442
235,1188,3.0,953738732
376,2871,4.0,942189032
224,114180,3.0,1420876998
433,733,2.0,1439794786
178,165,4.0,843392914
668,1616,3.0,1025858858
423,1721,3.0,1087859950
130,3082,1.0,947477757
575,555,4.0,939803938
668,4347,4.0,1046363378
475,121239,3.5,1431864205
350,3114,5.0,1425024326
194,4447,2.0,1364056500
267,296,5.0,968988893
109,1175,5.0,918641001
149,1193,5.0,855908890
578,881,4.0,858656116
4,3088,5.0,950323638
310,3070,3.0,1124191034
413,94777,4.0,1338367074
124,2455,5.0,1011476322
530,2184,3.5,1076730325
471,1214,3.0,972781244
458,4321,4.0,1226095315
627,3263,4.0,1237990882
413,99296,3.0,1390622018
451,3168,4.5,1130836992
421,628,4.0,879858038
586,608,4.0,1397065613
649,475,4.0,1062617635
413,4855,3.5,1363745514
627,7018,4.0,1237932777
668,5013,4.0,1043775161
367,1162,4.0,859538785
533,2803,3.5,1215816179
607,3534,4.0,988059438
465,858,5.0,1097880588
92,150,4.0,840581163
666,757,4.0,1021279715
159,5618,4.5,1125513216
113,333,3.5,1209263714
387,2529,4.0,1389549783
376,2973,4.0,942188917
668,44611,2.5,1249435557
643,58295,3.0,1300431463
456,586,3.0,841935772
215,1196,4.5,1433873902
668,31485,3.5,1153073771
627,745,4.0,1237930996
89,1302,3.0,1328923063
213,1377,3.5,1129881717
451,4029,4.0,1136106238
354,344,0.5,1109700949
69,2012,1.0,1121087939
250,1291,4.0,1107160966
238,2076,4.5,1082122651
607,3802,1.0,974711692
330,3551,5.0,1021830154
164,2431,5.0,1440962716
594,1029,2.0,1163470180
11,910,3.0,850817788
213,1097,5.0,1111501635
42,4679,3.0,1399110199
575,7232,3.0,1182812676
589,31225,4.0,1450567286
567,5110,2.5,1176564460
502,1080,4.0,1062968221
216,2834,3.0,1025570839
668,942,4.0,1025849663
668,74685,2.0,1288982787
274,474,4.0,892802193
557,1266,5.0,1285001458
296,161,3.5,1085798092
244,2247,3.0,953172290
107,2671,3.0,958173469
255,2147,3.5,1174417095
177,3897,3.5,1074043363
113,3418,3.5,1209266045
375,1262,5.0,1046194354
505,150,5.0,965682536
475,26178,3.0,1391967741
220,6874,3.5,1111757330
475,3717,3.0,1305330718
473,9,2.0,836973343
220,8370,4.0,1111757766
128,919,2.5,1262378522
130,3693,1.0,996627070
300,2716,5.0,942967913
590,1645,3.5,1354280359
495,1997,3.0,993843313
354,367,3.0,1017843792
440,2926,4.0,962687236
603,648,4.0,857568111
558,26,4.0,841217370
521,145,3.0,1351087627
252,1088,3.0,1048128862
429,3408,4.0,993082835
668,46530,2.5,1191261129
605,50,5.0,955374458
425,175,4.5,1077477502
561,2672,2.0,944927362
367,357,4.0,833572907
615,1927,5.0,955127092
665,1276,3.0,1231675786
112,2291,3.0,956591613
11,1356,5.0,850816807
114,62331,4.0,1452130805
2,648,4.0,859046895
584,529,4.0,944926129
575,67255,2.5,1278950489
575,1276,4.0,953380085
575,1345,3.0,939927352
62,2846,0.5,1267425654
140,81,1.0,867828018
575,6078,2.5,1182540681
299,45186,4.5,1290574268
621,32587,3.0,1289749773
410,8644,4.5,1137285912
235,2167,3.0,953676207
32,1252,5.0,903226538
659,30707,4.0,1394689421
211,4192,3.0,1138403243
664,4025,5.0,1423504022
38,2028,2.0,1406753680
107,3115,2.0,958157861
178,454,4.0,843392977
542,44,2.5,1303677058
160,319,4.0,902697949
475,6713,4.5,1426972360
542,3623,1.5,1303678244
275,8641,3.5,1136710085
344,3821,2.0,1079416306
546,4706,4.0,1036015474
607,1667,1.0,974711302
365,2712,3.5,1062893365
87,52,2.5,1173620132
314,79553,4.0,1448466906
575,5673,2.0,1062364261
194,49530,4.0,1364055069
76,59315,4.5,1416613066
428,8865,3.0,1105415985
615,3153,3.0,955127834
389,1895,4.0,1319196123
652,2427,5.0,974691667
580,1302,5.0,1209462263
607,2380,1.0,974791287
146,3039,3.0,944927394
259,7323,4.5,1079617186
220,2643,2.0,1112609430
376,5060,5.0,942190667
623,356,5.0,836686192
262,32,5.0,1183002040
375,1123,4.0,1046194150
224,48412,3.0,1425361964
17,2797,4.0,1237222532
606,109374,3.5,1448032536
315,1927,4.0,979182967
244,2080,3.0,953167163
358,903,5.0,1408189203
220,376,4.0,1111994622
401,56174,4.0,1417253385
493,1265,3.0,1218329819
167,72998,4.0,1446588713
86,68954,4.0,1450071427
451,3160,4.5,1130495312
88,1304,5.0,1040275261
147,1066,5.0,986110626
62,3450,2.0,1269671889
354,2662,3.0,965327420
180,520,4.0,1180920791
403,6874,3.5,1222301545
393,168,5.0,848976807
409,55820,5.0,1292613458
668,4503,3.0,1025888119
255,3101,3.5,1174416345
273,1388,3.0,1227876357
189,2571,4.5,1170027190
